MainCategory,SubCategory1,SubCategory2,category,menu_order,Model,SKU:sku,Price: regular_price,post_title,post_content,Images/Gallery,Spec Sheet Link,Spec Sheet Link Text,product_type,product_visibility,Inventory: stock,Wattage (W),Voltage (V),Lumens (lm),Efficiency,L70 Rated Life (Hrs),Bulb Equivalent,Base,Colour Temperature,Beam Angle,CRI,Dimmable,Operating Temperature,Environmental Rating,Certifications,2-HR Fire Rating Compliance,Nominal Length,Length (mm),Length (inches),Length,Width (mm),Width (inches),Height,Height (mm),Height (inches),Diameter (mm),Diameter (inches),Diameter,Weight (g),Weight (lbs),Inside Diameter,Outside Diameter,Shape,Warranty,Inner Carton Qty,Outer Carton Qty,Box Length (cm),Box Width (cm),Box Height (cm),Box CBM,Box CFT,Carton Weight (lbs),Carton Length (inches),Carton Width (inches),Carton Height (inches),Carton CFT,CARTON CBM,Driver Dimensions (mm),DriverDimensions (Inches),Hole Size Cutout,Dimmer Compatibility,Finish,Direct Replacement For,Use,Surge Protection,Diffuser Type,Diffuser Material,Optional Accessory,Mounting,Flange Dimensions,Recess Dimensions,Rib-reinforced,PIR Sensor,Auto Shut-off,Waterproofing,LED Quantity,LED Type,Input Voltage (VAC),Current Draw,Output Voltage (VDC),Dimensions (without tabs),Maximum Linkable Length,Classification Type
Bulbs,A-Type,A19 5-Pack 40K,Bulbs>A-Type>A19 5-Pack 40K,26,LED9WA19NDS-40K-5pk - 900,900,,LED9WA19NDS-40K-5pk - 900,LED9WA19NDS-40K-5pk - 900,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2017/01/CNA-LED9WA19ND-30K-5pk-500x500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/10/CNA-LED9WA19NDS-XXK-5PK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,300,0.66,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - 5CCT,Bulbs>A-Type>A19 - 5CCT,30,LED9WA19-5CCT - 1216,1216,,LED9WA19-5CCT - 1216,LED9WA19-5CCT (NEW),https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/12/1216-CNA-LED9WA19-5CCT-622x622-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/12/1216-CNA-LED9WA19-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,400,0.88,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - Enclosed & Dim 27K,Bulbs>A-Type>A19 - Enclosed & Dim 27K,35,LED9WA19-EC 27K - 947,947,,LED9WA19-EC 27K - 947,LED9WA19-EC 27K - 947,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/01/CNA-LED9WA19-EC_500x500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/01/CNA-LED9WA19-EC-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,150,0.33,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - Enclosed & Dim 40K,Bulbs>A-Type>A19 - Enclosed & Dim 40K,36,LED9WA19-EC 40K - 949,949,,LED9WA19-EC 40K - 949,LED9WA19-EC 40K - 949,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/01/CNA-LED9WA19-EC_500x500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/01/CNA-LED9WA19-EC-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,100,0.22,,,  ,  ,100,100,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,For all sizes pot lights,,  ,  ,  ,,"29"" x 22-3/4""","22-1/4"" x 14"" x 8-3/4""",Yes,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - Enclosed & Dim 50K,Bulbs>A-Type>A19 - Enclosed & Dim 50K,37,LED9WA19-EC 50K - 1072,1072,,LED9WA19-EC 50K - 1072,LED9WA19-EC 50K - 1072,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/01/CNA-LED9WA19-EC_500x500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/01/CNA-LED9WA19-EC-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,158,0.35,,,  ,  ,100,100,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,For Slim LED Lights,,  ,  ,  ,,"24"" x 20""","20"" x 8"" x 3-1/2""",No,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - Enclosed & Dim 30K,Bulbs>A-Type>A19 - Enclosed & Dim 30K,40,LED9WA19-ED 30K - 1192,1192,,LED9WA19-ED 30K - 1192,LED9WA19-ED 30K - 1192,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/05/1192-CNA-LED9WA19-ED-30K-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/05/1192-CNA-LED9WA19-ED-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,,Black Trim,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - X-Filament - High Output 30K,Bulbs>A-Type>A19 - X-Filament - High Output 30K,50,LED 12.5W A19-X 30K - 1190,1190,,LED 12.5W A19-X 30K - 1190,LED 12.5W A19-X 30K - 1190,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/08/1190-CNA-LED12.5WA19-X-30K-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/08/1190-CNA-LED12.5WA19-X-30K.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,,,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - High Output 5CCT,Bulbs>A-Type>A19 - High Output 5CCT,55,LED14WA19-5CCT - 1187,1187,,LED14WA19-5CCT - 1187,LED14WA19-5CCT - 1187,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/07/1187-CNA-LED14WA19-5CCT-622x622-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/07/1187-CNA-LED14WA19-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,9W,120VAC,650 lm,  ,"35,000 Hrs",  ,,,38°,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,50,50,,,,0,0,  ,,,,0,0,,,  ,,Black Trim,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - High Output 27K,Bulbs>A-Type>A19 - High Output 27K,56,LED14WA19 27K - 1034,1034,,LED14WA19 27K - 1034,LED14WA19 27K - 1034,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/12/CNA-LED14WA19-652x652.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/12/CNA-LED14WA19-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,9W,120VAC,650 lm,  ,"35,000 Hrs",  ,,,38°,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,50,50,,,,0,0,  ,,,,0,0,,,  ,,Brushed Nickel,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A21 - High Output 40K,Bulbs>A-Type>A21 - High Output 40K,60,LED20WA21-EC 40K - 1161,1161,,LED20WA21-EC 40K - 1161,LED20WA21-EC 40K (NEW),https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/03/1161-CNA-LED20WA21-EC-40K-640x640-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/03/1161-CNA-LED20WA21-EC-XXK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,9W,120VAC,600 lm,  ,"35,000 Hrs",  ,E26 Accessory Kit,,38°,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,1600,3.53,,,  ,  ,50,50,,,,0,0,  ,,,,0,0,,,  ,,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
