MainCategory,SubCategory1,SubCategory2,category,menu_order,Model,SKU:sku,Price: regular_price,post_title,post_content,Images/Gallery,Spec Sheet Link,Spec Sheet Link Text,product_type,product_visibility,Inventory: stock,Wattage (W),Voltage (V),Lumens (lm),Efficiency,L70 Rated Life (Hrs),Bulb Equivalent,Base,Colour Temperature,Beam Angle,CRI,Dimmable,Operating Temperature,Environmental Rating,Certifications,2-HR Fire Rating Compliance,Nominal Length,Length (mm),Length (inches),Length,Width (mm),Width (inches),Height,Height (mm),Height (inches),Diameter (mm),Diameter (inches),Diameter,Weight (g),Weight (lbs),Inside Diameter,Outside Diameter,Shape,Warranty,Inner Carton Qty,Outer Carton Qty,Box Length (cm),Box Width (cm),Box Height (cm),Box CBM,Box CFT,Carton Weight (lbs),Carton Length (inches),Carton Width (inches),Carton Height (inches),Carton CFT,CARTON CBM,Driver Dimensions (mm),DriverDimensions (Inches),Hole Size Cutout,Dimmer Compatibility,Finish,Direct Replacement For,Use,Surge Protection,Diffuser Type,Diffuser Material,Optional Accessory,Mounting,Flange Dimensions,Recess Dimensions,Rib-reinforced,PIR Sensor,Auto Shut-off,Waterproofing,LED Quantity,LED Type,Input Voltage (VAC),Current Draw,Output Voltage (VDC),Dimensions (without tabs),Maximum Linkable Length,Classification Type
Recessed,Gimbal,"4"" Gimbal - 3CCT - BK","Recessed>Gimbal>4"" Gimbal - 3CCT - BK",320,DGIM-4-3CCT-BK - 1089,1089,,DGIM-4-3CCT-BK - 1089,DGIM-4-3CCT-BK - 1089,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2021/03/CNA-LED-DGIM-4-3CCT-BK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2021/03/CNA-LED-DGIM-4-3CCT-BK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Gimbal,"4"" Gimbal - 5CCT - BK","Recessed>Gimbal>4"" Gimbal - 5CCT - BK",321,DGIM-4-5CCT-BK - 1155,1155,,DGIM-4-5CCT-BK - 1155,DGIM-4-5CCT-BK (Colour Selectable) - 1155,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/12/1155-CNA-LED-DGIM-4-5CCT-BK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/1154-CNA-DGIM-4-5CCT-WH-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,4.2 W,120VAC,  ,77 lm/W,"40,000 Hrs.",T5 Light Strip - 1FT,120V Receptacle,4000K,  ,80,No,-20°C to +40°C,  ,cETLus,,1 Foot,343 mm,,  ,22 mm,,  ,42.5 mm,,  ,  ,  ,,,,,  ,5 years,30,30,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Gimbal,"4"" Gimbal - 5CCT - WH","Recessed>Gimbal>4"" Gimbal - 5CCT - WH",322,DGIM-4-5CCT-WH - 1154,1154,,DGIM-4-5CCT-WH - 1154,DGIM-4-5CCT-WH (Colour Selectable) - 1154,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/12/1154-CNA-LED-DGIM-4-5CCT-WH-792x792-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/05/1154-CNA-DGIM-4-5CCT-WH-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,8.4W,120VAC,  ,76 lm/W,"40,000 Hrs.",T5 Light Strip - 12T,120V Receptacle,4000K,  ,80,No,-20°C to +40°C,  ,cETLus,,2 Feet,604 mm,  ,  ,22 mm,,  ,42.5 mm,,  ,  ,  ,,,,,  ,5 years,30,10,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Gimbal,"4"" Floating Gimbal 5CCT - BK","Recessed>Gimbal>4"" Floating Gimbal 5CCT - BK",331,TL4-5CCT-BK-12W - 1141,1141,,TL4-5CCT-BK-12W - 1141,TL4-5CCT-BK 12W - 1141 (Colour Selectable),https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/12/1141-CNA-LED-TL4-5CCT-BK-560x560-1.png,,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,3000K,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Gimbal,"4"" Floating Gimbal 5CCT - WH","Recessed>Gimbal>4"" Floating Gimbal 5CCT - WH",332,TL4-5CCT-WH-12W - 1140,1140,,TL4-5CCT-WH-12W - 1140,TL4-5CCT-WH-12W - 1140 (Colour Selectable),https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/12/1140-CNA-LED-TL4-5CCT-WH-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/03/1140-CNA-TL4-5CCT-WH-12W-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,4000K,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Eyeball,"4"" Eyeball - 3CCT - WH","Recessed>Gimbal>4"" Eyeball - 3CCT - WH",339,DG-4-345K-WH - 1038,1038,,DG-4-345K-WH - 1038,DG-4-345K-WH - 1038,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/11/CNA-LED-DG-4-345K-WH-600x600-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/03/CNA-LED-DG4-345K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Eyeball,"3.5"" Eyeball - 30K - WH","Recessed>Eyeball>3.5"" Eyeball - 30K - WH",340,RG-4-30K-WH - 1102,1102,,RG-4-30K-WH - 1102,RG-4-30K-WH - 1102,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/03/CNA-LED-RG-4-345K-WH-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2021/11/CNA-LED-RG-4-30K-WH-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Eyeball,"3.5"" Eyeball - 3CCT - BK","Recessed>Eyeball>3.5"" Eyeball - 3CCT - BK",341,RG-4-345K-BK - 1040,1040,,RG-4-345K-BK - 1040,LED RG-4-345K-BK - 1040,  , ,,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Eyeball,"3.5"" Eyeball - 3CCT - WH","Recessed>Eyeball>3.5"" Eyeball - 3CCT - WH",342,RG-4-345K-WH - 1041,1041,,RG-4-345K-WH - 1041,RG-4-345K-WH - 1041,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/03/CNA-LED-RG-4-345K-WH-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/03/CNA-LED-RG4-345K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Eyeball,"3.5"" Eyeball - 5CCT - WH","Recessed>Eyeball>3.5"" Eyeball - 5CCT - WH",343,RG-4-5CCT-WH - 1125,1125,,RG-4-5CCT-WH - 1125,RG-4-5CCT-WH (Colour Selectable) - 1125,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/10/1125-CNA-LED-RG-4-5CCT-WH-600x626-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/10/1125-CNA-RG-4-5CCT-WH-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Retrofit,"4"" Retrofit - 5CCT","Recessed>Retrofit>4"" Retrofit - 5CCT",360,LED7WRT4-5CCT - 1106,1106,,LED7WRT4-5CCT - 1106,"LED7WRT4-5CCT  - 4""  LED Retrofit Kit Downlight",https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2022/10/CNA-1106-LED7WRT4-5CCT-Long-150x402-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2022/10/CNA-1106-LED7WRT4-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Retrofit,"5"" / 6"" Retrofit - 5CCT","Recessed>Retrofit>5"" / 6"" Retrofit - 5CCT",361,LED9WRT5/6-5CCT - 1017,1017,,LED9WRT5/6-5CCT - 1017,LED9WRT5/6-5CCT - 1017,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/05/CNA-1017-LED9WRT5-6-5CCT-Long-150x363-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2022/10/CNA-1017-LED9WRT5-6-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Retrofit,"Field Adjustable 6"" Downlight","Recessed>Retrofit>Field Adjustable 6"" Downlight",365,LED RT6-3x3CCT-AK - 1134,1134,,LED RT6-3x3CCT-AK - 1134,"Field Adjustable 6"" LED Recessed Downlight",https://www.cnalighting.com/file/2020/07/CNA-LED-RT6-3X3CCT-3Photo-600x2000-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2023/09/1134-CNA-LED-RT6-3X3CCT-AK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,"6"" to 8"" Goof Ring","Recessed>Accessories>6"" to 8"" Goof Ring",370,RT6-GOOF8 - 1057,1057,,RT6-GOOF8 - 1057,RT6-GOOF8 - 1057,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2023/01/CNA-LED-RT6-GOOF8-600x600-grey-background.png, ,,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,,,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  , ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,"3.5"" Rough-In Plate","Recessed>Accessories>3.5"" Rough-In Plate",375,RIP-35 - 1079,1079,,RIP-35 - 1079,"RIP-35   -  3.5"" Rough-In Plate - 1079",https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2016/10/CNA-LED-RP-4-10W-Rough-In-Plate-500x500-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-Vapour-Barrier-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,200,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,"4"" Rough-In Plate","Recessed>Accessories>4"" Rough-In Plate",376,RIP-4 - 885,885,,RIP-4 - 885,RIP-4 - 885,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2016/10/CNA-LED-RP-4-10W-Rough-In-Plate-500x500-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-Vapour-Barrier-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,1,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,"6"" Rough-In Plate","Recessed>Accessories>6"" Rough-In Plate",377,RIP-6 - 888,888,,RIP-6 - 888,RIP-6 - 888,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2016/10/CNA-LED-RP-6-15W-Rough-In-Plate-500x500-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-Vapour-Barrier-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,2,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,Large Vapour Barrier,Recessed>Accessories>Large Vapour Barrier,380,G-59 Vapour Barrier - 1024,1024,,G-59 Vapour Barrier - 1024,G-59 Vapour Barrier - 1024,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-G-59-Vapour-Barrier-500x500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-Vapour-Barrier-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,200,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,Small Vapour Barrier,Recessed>Accessories>Small Vapour Barrier,381,VB02 Vapour Barrier - 1025,1025,,VB02 Vapour Barrier - 1025,VB02 Vapour Barrier - 1025,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-VB02-Vapour-Barrier-700x700-Vertical.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2019/10/CNA-Vapour-Barrier-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,1,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,DP4 Black Trim,Recessed>Accessories>DP4 Black Trim,385,DP-4-BK Trim - 1042,1042,,DP-4-BK Trim - 1042,DP-4-BK Trim - 1042,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/03/CNA-LED-DP-6-BKTrim.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2023/03/1123-CNA-LED-DP4-FR-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,2,,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Recessed,Accessories,DP6 Black Trim,Recessed>Accessories>DP6 Black Trim,386,DP-6-BK-Trim - 1043,1043,,DP-6-BK-Trim - 1043,DP-6-BK-Trim - 1043,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/03/CNA-LED-DP-6-BKTrim.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2023/03/1124-CNA-LED-DP6-FR-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,12VDC - Constant Voltage,  ,  ,"50,000 Hrs",  ,  ,  ,  ,  ,Yes,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,26,0.06,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,100V-130VAC,  ,12VDC - Constant Voltage,  ,  ,  
Recessed,Accessories,"4"" DPS Black Trim","Recessed>Accessories>4"" DPS Black Trim",387,DPS-4-BK-TRIM - 1082,1082,,DPS-4-BK-TRIM - 1082,DPS-4-BK-TRIM - 1082 - Black Trim,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/11/CNA-DPS-4-BK-TRIM-503x503-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/11/CNA-LED-DPS-4-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,12VDC - Constant Voltage,  ,  ,"50,000 Hrs",  ,  ,  ,  ,  ,Yes,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,270,0.6,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,100V-130VAC,  ,12VDC - Constant Voltage,  ,  ,  
Recessed,Accessories,"4"" DPS Brushed Nickel Trim","Recessed>Accessories>4"" DPS Brushed Nickel Trim",388,DPS-4-BN-TRIM - 1083,1083,,DPS-4-BN-TRIM - 1083,DPS-4-BN-TRIM - 1083 - Brushed Nickel Trim,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/11/CNA-DPS-4-BN-TRIM-513x513-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/11/CNA-LED-DPS-4-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,12VDC - Constant Voltage,  ,  ,"50,000 Hrs",  ,  ,  ,  ,  ,Yes,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,9,0.02,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,100V-130VAC,  ,12VDC - Constant Voltage,  ,  ,  
Recessed,Accessories,DPS Recess Mount Accessory,Recessed>Accessories>DPS Recess Mount Accessory,389,DPS-ACC - 1084,1084,,DPS-ACC - 1084,DPS-ACC - 1084,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2020/11/CNA-DPS-ACC-615x615-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/04/1201-CNA-LED-DPM-4-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,12VDC - Constant Voltage,  ,  ,"50,000 Hrs",  ,  ,  ,  ,  ,Yes,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,9,0.02,,,  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,100V-130VAC,  ,12VDC - Constant Voltage,  ,  ,  
Flush Mounts,Helen,"15"" Helen Series (Gold Black)","Flush Mounts>Helen>15"" Helen Series (Gold Black)",400,CL-TBBG-15-5CCT - 601,601,,CL-TBBG-15-5CCT - 601,CL-TBBG-15-5CCT - 601,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/03/601-CNA-CL-TBBG-15-5CCT-600x600-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/04/601-602-603-CNA-Helen-Flushmount-CL-TBXX-15-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,5.5W,120V-277VAC (Ballast Bypass),620 lm,112 lm/W (@4000K),"50,000 Hrs.",2PIN CFL PL13W,GX23 2-PIN,4CCT - 2700K / 3000K / 3500K / 4000K,120°,? 80,No,-20°C to +45°C,"Damp Location, Not for Enclosed Fixtures",cUL / cUL Classified,,  ,178 mm,"7""",,32 mm,"1-1/4""",,18 mm,"1-3/16""",  ,  ,  ,,,,,  ,5 Years,24,24,,,,0,0,  ,,,,0,0,,,  ,,  ,  ,  ,,  ,Plastic,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,cUL Type A & Type B
Flush Mounts,Helen,"15"" Helen Series (Black White)","Flush Mounts>Helen>15"" Helen Series (Black White)",401,CL-TBWB-15-5CCT - 602,602,,CL-TBWB-15-5CCT - 602,CL-TBWB-15-5CCT - 602,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/03/602-CNA-CL-TBWB-15-5CCT-600x600-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/04/601-602-603-CNA-Helen-Flushmount-CL-TBXX-15-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,7W,120V-277VAC (Type B Installation),800 lm (2700K) / 825 lm (3000K / 3500K) 850 lm (4000K / 5000K),114.3 to 121.4 lm/W,"50,000 Hrs.",4-PIN CFL PLC13W - Also PLC18W PLC26W,G24Q Universal 4-Pin,5CCT - 2700K / 3000K / 3500K / 4000K / 5000K,280°,? 80,No,-20°C to +35°C,,cUL / cUL Classified,,,133 mm,"5-1/4""","133 mm (5-1/4"")",35 mm,"1-3/8""","133 mm (5-1/4"")",,"5-1/4""",,,,,,,,,3 Years,50,50,,,,0,0,,,,,0,0,,,,,,CFL - PL-13W,,,,Plastic,,,,,,,,,,,,,,,,cUL Type A & Type B
Flush Mounts,Helen,"15"" Helen Series (Gold White)","Flush Mounts>Helen>15"" Helen Series (Gold White)",402,CL-TBWG-15-5CCT - 603,603,,CL-TBWG-15-5CCT - 603,CL-TBWG-15-5CCT - 603,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/03/603-CNA-CL-TBWG-15-5CCT-600x600-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/04/601-602-603-CNA-Helen-Flushmount-CL-TBXX-15-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,7W,120V-277VAC (Ballast Bypass),650 lm,92.86 lm/W,"40,000 Hrs.",4-PIN CFL PLC13W,G24Q Universal 4-Pin,3000K,360°,? 80,No,-20°C to +45°C,Not for Enclosed Fixtures,cUL Classified,,  ,128 mm,"5-1/32""",,37 mm,"1-7/16""",,37 mm,"1-7/16""",,,,360,0.79,,,  ,3 Years,10,50,,,,0,0,  ,,,,0,0,,,  ,,  ,CFL - PLC13W - Also PLC18W & PLC26W,  ,,  ,Plastic,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,cUL Type A & Type B
Flush Mounts,2-Ring,"12"" 2-Ring - Brushed Nickel","Flush Mounts>2-Ring>12"" 2-Ring - Brushed Nickel",420,CL-2R-12-5CCT BN - 1204,1204,,CL-2R-12-5CCT BN - 1204,CL-2R-12-5CCT BN - 1204,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/06/1204-CNA-LED-CL-2R-12-5CCT-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/06/1204-CNA-LED-CL-2R-12-5CCT-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,5 Watts,120VAC,  ,  ,  ,  ,  ,  ,  ,  ,Yes,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,256,,,,  ,5 Years,1,20,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Flush Mounts,2-Ring,"12"" 2-Ring - Black","Flush Mounts>2-Ring>12"" 2-Ring - Black",421,CL-2R-12-5CCT BK - 1136,1136,,CL-2R-12-5CCT BK - 1136,CL-2R-12-5CCT BK - 1136,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/06/1136-CNA-LED-CL-2R-12-5CCT-BK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2024/06/1136-CNA-LED-CL-2R-12-5CCT-BK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,5 Watts,120VAC,  ,  ,  ,  ,  ,  ,  ,  ,Yes,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,256,,,,  ,5 Years,1,20,,,,0,0,  ,,,,0,0,,,  ,  ,  ,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
